time,outdoor_temp_C,global_irradiance_W_m2,effective_outdoor_temp_C,room_air_setpoint_C,dynamic_heating_balance_temp_C,is_night_setback,heating_degree_K,heat_loss_indicator_kW,usable_solar_gain_kW,space_user_modifier,dhw_user_modifier,is_vacation,space_heating_load_kW,dhw_load_kW,total_heat_load_kW
2025-01-01 00:00:00,2.7,0.0,2.7,20.0,15.0,0,12.3,82.55529634119186,0.0,1.0,1.0,0,789.2481155480937,3.641243537315576,792.8893590854093
2025-01-01 01:00:00,2.9,0.0,2.744239843385719,20.0,15.0,0,12.255760156614281,82.29467340908651,0.0,1.0,1.0,0,788.426679457178,3.6412792798178724,792.0679587369959
2025-01-01 02:00:00,2.7,0.0,2.7344540246717544,20.0,15.0,0,12.265545975328246,82.35233290739514,0.0,1.0,1.0,0,788.057786632897,3.643547413273645,791.7013340461706
2025-01-01 03:00:00,3.1,0.0,2.815312508165762,20.0,15.0,0,12.184687491834238,81.87573319831023,0.0,1.0,1.0,0,786.3083547587129,3.710467670513826,790.0188224292267
2025-01-01 04:00:00,3.4,0.0,2.9446449235074397,20.0,15.0,0,12.05535507649256,81.11260948317225,0.0,1.0,1.0,0,782.730448318837,4.617656316705069,787.3481046355421
2025-01-01 05:00:00,3.8,0.0,3.133848796623493,20.0,15.0,0,11.866151203376507,79.99440435731758,0.0,1.0,1.0,0,776.8077266845281,10.107525325524076,786.9152520100522
2025-01-01 06:00:00,4.2,0.0,3.369680607937856,20.0,15.0,0,11.630319392062145,78.59756090081562,0.0,1.0,1.0,0,768.4350110699008,23.752842167053664,792.1878532369545
2025-01-01 07:00:00,4.6,0.0,3.6418262940340673,20.0,15.0,0,11.358173705965932,76.9813066865438,0.0,1.0,1.0,0,757.7284725662612,33.07540546238968,790.8038780286508
2025-01-01 08:00:00,4.8,8.0,3.898013410861021,20.0,15.0,0,11.10198658913898,75.45549115501889,0.35509008180237306,1.0,1.0,0,744.623392710005,24.275679595530505,768.8990723055355
2025-01-01 09:00:00,5.4,54.0,4.230251668215814,20.0,15.0,0,10.769748331784186,73.4702769010451,2.6974353171016405,1.0,1.0,0,722.1991143808322,12.104446876248792,734.3035612570809
2025-01-01 10:00:00,6.2,94.0,4.6659584567528825,20.0,15.0,0,10.334041543247118,70.85537713978293,6.455638161178941,1.0,1.0,0,687.0808105573394,9.8827932982525,696.9636038555919
2025-01-01 11:00:00,6.6,75.0,5.093766931626517,20.0,15.0,0,9.906233068373483,68.27470784399272,8.79354924284167,1.0,1.0,0,648.0378365554051,13.526424673912048,661.5642612293171
2025-01-01 12:00:00,7.1,80.0,5.537544115326984,20.0,15.0,0,9.462455884673016,65.58323612828426,10.994479549014903,1.0,1.0,0,606.4465868753313,16.594862763245526,623.0414496385768
2025-01-01 13:00:00,7.1,51.0,5.88315813350213,20.0,15.0,0,9.11684186649787,63.476415743163635,11.570325284414846,1.0,1.0,0,570.1118626731218,15.76328242728862,585.8751451004104
2025-01-01 14:00:00,7.1,15.0,6.152322601497389,20.0,15.0,0,8.847677398502611,61.82885142625329,10.459862807676414,1.0,1.0,0,544.0631213383581,11.85602050466136,555.9191418430195
2025-01-01 15:00:00,7.2,4.0,6.384068021639954,20.0,15.0,0,8.615931978360045,60.40541060252005,9.031627752462299,1.0,1.0,0,526.6172383935243,8.406255345523716,535.023493739048
2025-01-01 16:00:00,7.2,0.0,6.564551536320196,20.0,15.0,0,8.435448463679805,59.29358751323687,7.645107838474227,1.0,1.0,0,515.7887077760357,8.294389088584468,524.0830968646202
2025-01-01 17:00:00,7.1,0.0,6.682992317191788,20.0,15.0,0,8.317007682808212,58.56238197941364,6.471444070086418,1.0,1.0,0,509.9246745337723,12.46592348127127,522.3905980150436
2025-01-01 18:00:00,7.2,0.0,6.797354011775032,20.0,15.0,0,8.202645988224969,57.855148081079925,5.477959138979887,1.0,1.0,0,506.89610670492766,19.832289461497762,526.7283961664255
2025-01-01 19:00:00,7.2,0.0,6.886418989069836,20.0,15.0,0,8.113581010930165,57.30351755996254,4.636992300843999,1.0,1.0,0,505.77793243746,26.788244388014427,532.5661768254744
2025-01-01 20:00:00,7.7,0.0,7.0663824715955625,20.0,15.0,0,7.9336175284044375,56.186626167260656,3.9251292411229257,1.0,1.0,0,503.7518221548893,28.788412624778935,532.5402347796683
2025-01-01 21:00:00,8.0,0.0,7.272897937789435,20.0,15.0,0,7.727102062210565,54.90111386448584,3.3225501704443214,1.0,1.0,0,500.2411984524597,24.355505976241485,524.5967044287012
2025-01-01 22:00:00,8.1,0.0,7.455852266270439,20.0,15.0,0,7.544147733729561,53.75874730912472,2.8124779993133133,1.0,1.0,0,495.89508008651075,16.57585938659561,512.4709394731063
2025-01-01 23:00:00,8.3,0.0,7.642577083943467,20.0,15.0,0,7.357422916056533,52.58933320129356,2.380711228075637,1.0,1.0,0,490.65685955054073,9.763829652007148,500.42068920254786
2025-01-02 00:00:00,8.5,0.0,7.832238361551804,20.0,15.0,0,7.167761638448196,51.397801101532664,2.015228546807917,1.0,1.0,0,484.5420177595791,3.641243537315576,488.18326129689467
2025-01-02 01:00:00,8.1,0.0,7.891467026300063,20.0,15.0,0,7.108532973699937,51.02491452600593,1.7058541363507715,1.0,1.0,0,480.2429379333691,3.6412792798178724,483.88421721318696
2025-01-02 02:00:00,7.7,0.0,7.849114670014842,20.0,15.0,0,7.150885329985158,51.2915913109924,1.44397435174999,1.0,1.0,0,479.0270927421693,3.643547413273645,482.670640155443
2025-01-02 03:00:00,6.3,0.0,7.50645171807496,20.0,15.0,0,7.49354828192504,53.44220847874306,1.222297899967138,1.0,1.0,0,485.68912545393226,3.710467670513826,489.3995931244461
2025-01-02 04:00:00,6.3,0.0,7.239585542774621,20.0,15.0,0,7.760414457225379,55.108757840323086,1.0346528346943582,1.0,1.0,0,495.99890319892023,4.617656316705069,500.6165595156253
2025-01-02 05:00:00,6.6,0.0,7.0981097215540245,20.0,15.0,0,7.9018902784459755,55.989400211400884,0.8758147161750438,1.0,1.0,0,506.1860073780029,10.107525325524076,516.2935327035269
2025-01-02 06:00:00,5.5,0.0,6.7446091025802986,20.0,15.0,0,8.255390897419701,58.18148139669589,0.7413611516324348,1.0,1.0,0,520.3474420000028,23.752842167053664,544.1002841670565
2025-01-02 07:00:00,3.9,0.0,6.115383796621583,20.0,15.0,0,8.884616203378418,62.055314459902085,0.6275486664007155,1.0,1.0,0,542.4084691720435,33.07540546238968,575.4838746344332
2025-01-02 08:00:00,3.3,18.0,5.492623105455434,20.0,15.0,0,9.507376894544567,65.85637020916457,1.3301611616430218,1.0,1.0,0,566.9621476444056,24.275679595530505,591.2378272399361
