time,building 1,building 2,building 3,building 4,building 5,building 6,building 7,building 8,building 9,building 10,building 11,building 12,building 13,building 14,building 15,building 16,building 17,building 18,building 19,building 20,building 21,building 22,building 23,building 24,building 25,building 26,building 27,building 28,building 29,building 30,building 31,building 32,building 33,building 34,building 35,building 36,building 37,Sum
2025-01-01 00:00:00,57.60693168659557,99.67080778848971,96.48525888128509,60.900720843415804,54.61760838837912,74.36350192979148,81.4315624401913,64.13023538573701,379.62244820479634,64.02697021036134,60.1747951443044,60.97144976942956,74.15968186415279,43.75146210005874,102.31332969522595,97.99710254005029,6.141430509850641,33.58766432279055,142.98147892353023,28.55340208262655,64.85988742915701,51.9668993239499,55.35073840905451,38.81397273455011,3.169449218212965,5.010361700169292,0.474643257989507,58.47123745560118,51.52206446851472,59.03423345354132,148.09707351851168,150.072430692817,32.66163506977813,58.97939929159688,517.8430762505961,15.883104289452511,0.5286247985948409,2996.22667407315
2025-01-01 01:00:00,55.54097074367232,96.22617113531662,96.58975043819606,57.90711868434017,54.03429554188956,72.65623491151123,79.1445787113746,61.28089088963476,363.06616068050977,62.26368265337392,58.57858770539769,60.95731792132607,72.62720830001403,42.554126998053995,100.7664769071792,93.72750886192621,6.098400811706016,30.981531914264508,139.63039709077185,27.62068081933127,64.67487880645815,50.09224443887381,51.17139011189209,37.746802030448755,3.179224989335247,4.3485339636544715,0.48882274538824855,55.49477973130753,49.57268863761012,56.09394984495701,144.0792986493029,146.2836963041335,31.388141786298693,56.0334284292386,493.51417904223234,15.865138793081336,0.5058815755667203,2892.785171599569
2025-01-01 02:00:00,53.365003374632096,95.2361854928988,92.95904413043043,58.87623082555105,53.74094502119558,68.26140062267315,75.76595829935982,59.81516617065043,358.6020921708021,61.331769589062105,57.49666171946022,59.20776905791041,71.25182035310975,41.914988871338885,96.94439514248248,92.92174822036512,6.5452853885367555,31.990658609440104,138.20110679734748,26.986369534915575,62.430292315805936,49.68287470191714,52.575974826975205,38.18805247957458,3.3823912966441494,4.363233004856084,0.32013526991988955,54.98865280536296,49.226696599646935,56.37567913058199,138.95594386774175,140.67096657185309,31.26350413182776,56.56900022300711,495.28154987020474,14.575025697242863,0.44465012402591714,2850.70922230935
2025-01-01 03:00:00,53.00283679869084,94.41560721692085,91.95080758997308,57.85610597152114,50.942456308081525,67.71592063865785,76.33028935635203,61.23424203956732,350.2029173097384,60.55188539256375,57.84953979854843,60.17690300973666,71.0472730630988,41.36109196590106,95.51946547322164,94.13082547984929,6.4501949819412205,30.27882069033627,138.50980011817742,25.905703680785074,62.726544689708255,49.21600112662324,50.376333616443695,38.49695803525977,3.4503442023537048,4.90490460030243,0.42258182137031686,53.25581908882844,46.82785735423016,54.82732523549697,139.53013967970514,143.3755055489107,30.95783529795924,55.62226069679757,492.7277130686862,15.436605684409525,0.4377081956054413,2828.0251248263535
2025-01-01 04:00:00,54.652535695652,97.68838965060274,96.51266191524044,58.9305682939081,52.95158400722332,73.21918318230286,78.00434250609149,61.380787146548045,358.075726930805,63.36555600316492,58.350754795580215,62.51968912710544,72.3834566534345,43.375790257981116,98.28169205898716,96.15367612542724,6.503200033805013,32.00150182539598,145.49799492869633,26.439082290368702,64.16611239346085,51.05638895882387,53.84647295501344,39.65653931115891,3.310309781137457,4.99005311094183,0.41526902794981746,54.5004650054286,50.03051022833667,57.189921446975106,142.71694474746508,143.93834965030138,31.456711361088573,57.683795954725355,504.26012704819976,15.041091236572464,0.589729476317255,2911.136965122217
2025-01-01 05:00:00,56.294681375758444,103.59399934457551,97.23255386154258,63.52602085778199,57.59208225464799,77.45924486055004,83.64136933294117,65.21849483945316,381.54806925165644,66.99690334569874,63.32037143506353,64.0610740729629,74.96627784887451,46.02820567274464,103.9592037037525,101.82748621953601,6.924927298546664,34.527195350821216,150.80994981731286,29.435673579631594,67.68591162485178,54.35737156995792,57.23116415076942,41.11346640217666,3.508718592145679,5.089626945321274,0.568876887292542,58.69670632046341,52.66816490164233,61.81667340998168,152.62388843775233,153.34357557972223,33.91431610938721,61.214264389950856,518.6269105059146,16.87460313674182,0.43523888156741763,3068.733262169492
2025-01-01 06:00:00,62.12123198339296,112.45457915305154,108.80012274866466,67.28788853615806,61.637721337934686,84.57359704026288,87.87090715626856,67.69628352375868,412.1642144504661,73.37306883590968,68.73159794482208,71.15307899551888,82.34179754844492,50.921063425934285,110.65326134211823,105.862521416204,7.510516313653475,36.184991468955936,161.36295442710605,32.69093604750676,72.1835803042389,59.60659196887395,61.858636817133885,46.42500678040937,3.7753672884988756,4.991588241306678,0.45833620314892687,64.59154836721143,58.129210227027635,67.93007087438295,162.30620131017906,158.40450215042546,38.763378245186324,66.8458992416551,566.2389844426328,18.70652149506012,0.5578554859518114,3317.165613139455
2025-01-01 07:00:00,67.08179328015703,114.10468315866639,112.08694249183934,71.10989569131914,66.07674168531369,86.69193212870043,90.42653193818855,75.20404216260171,418.4451715504538,73.74074332520493,72.3969449574481,71.82527673674069,87.86148141687346,51.397514611614774,121.44988348790355,110.843074262166,7.921792947567328,38.25102584622242,165.1079340759406,35.509787160403455,75.08605918010706,60.43284831492137,63.09101232258421,45.993617234887374,4.3153799935533215,5.859732359432228,0.49097009051993656,65.3531290020369,62.11283891285173,72.51578430191184,168.15647210371986,168.57294115778603,40.6465533050012,70.12377449831328,583.4165702137373,20.00366080153925,0.5223813733543503,3444.226918081583
2025-01-01 08:00:00,61.79756923940607,111.61698178988937,107.75178514844698,68.54526533956896,60.54216644999339,82.90697545970829,91.21893029656275,70.39812097127457,414.08439457224165,70.94480540618858,67.71517631057363,68.47300244749918,83.52407766768806,49.24651484303941,113.41608083951606,106.12059750821862,7.273906914591296,38.132237355540084,163.6559006486228,30.554940207223275,72.54336109982044,59.12510893973014,59.6912650663731,46.48380969330291,4.25226223374966,5.484509009566023,0.5227671127001141,64.97398284782302,57.94731234901662,69.6762024450379,166.70909131362825,159.15260155850274,38.85424094121944,66.7276669180549,554.6606525038718,18.9399816222237,0.5056113135321118,3314.169856383946
2025-01-01 09:00:00,56.04886328293907,102.85458209896075,97.61205698181281,62.28904006144381,56.76248998408514,76.09844150904925,82.93298143580908,64.90874140314754,384.9299139974782,66.80739526734384,63.35937236201901,63.27459426673451,76.59563312162108,46.13989145416019,102.99510792671549,97.33569190200012,7.198629875319981,33.05653332567748,151.99073304846476,28.8280939299406,68.16796975789707,54.376081060765856,55.751138891554746,40.08323754070353,3.4667404588632778,5.215295552671466,0.45041627137875667,59.93360971549559,53.24385367244358,60.89722161747044,151.62016402312915,149.1796186286828,34.77772048764337,61.28123467480119,521.0474650876039,16.728339786816857,0.40457533893305575,3058.643469801578
